lon,lat,vs30,z1pt0,z2pt5,vs30measured
74.35760,43.03353,2.592309E+02,4.856380E+02,2.077092E+00,0
74.35750,43.04254,2.583393E+02,4.861227E+02,2.085296E+00,0
74.35741,43.05154,2.729536E+02,4.776360E+02,1.958069E+00,0
74.35732,43.06055,2.803667E+02,4.728795E+02,1.898955E+00,0
74.35722,43.06955,2.729248E+02,4.776538E+02,1.958305E+00,0
74.35713,43.07855,2.871817E+02,4.682334E+02,1.847490E+00,0
74.35703,43.08756,3.084075E+02,4.520686E+02,1.702765E+00,0
74.35694,43.09656,2.964595E+02,4.614839E+02,1.781497E+00,0
74.37325,42.70042,6.299625E+02,1.030492E+02,7.521381E-01,0
74.37316,42.70943,6.410303E+02,9.556652E+01,7.373007E-01,0
74.37307,42.71843,6.871865E+02,6.932095E+01,6.809263E-01,0
74.37298,42.72744,8.330737E+02,2.459551E+01,5.463257E-01,0
74.37289,42.73644,8.120136E+02,2.853468E+01,5.625654E-01,0
74.37280,42.74545,7.058905E+02,6.073355E+01,6.603255E-01,0
74.37271,42.75445,6.353674E+02,9.933405E+01,7.448227E-01,0
74.37262,42.76346,6.398231E+02,9.635905E+01,7.388922E-01,0
74.37253,42.77246,7.051988E+02,6.103220E+01,6.610665E-01,0
74.37244,42.78147,7.246907E+02,5.313615E+01,6.407652E-01,0
74.37234,42.79047,6.268348E+02,1.052531E+02,7.564329E-01,0
74.37225,42.79948,5.523563E+02,1.699610E+02,8.742079E-01,0
74.37216,42.80848,5.236473E+02,2.010717E+02,9.292508E-01,0
74.37207,42.81749,4.797851E+02,2.538851E+02,1.027061E+00,0
74.37198,42.82649,4.356433E+02,3.105197E+02,1.146958E+00,0
74.37189,42.83550,3.815262E+02,3.780185E+02,1.334903E+00,0
74.37180,42.84450,3.430254E+02,4.203047E+02,1.507648E+00,0
74.37171,42.85351,3.248465E+02,4.377975E+02,1.604551E+00,0
74.37161,42.86251,3.069643E+02,4.532490E+02,1.711926E+00,0
74.37152,42.87152,3.060288E+02,4.540078E+02,1.717914E+00,0
74.37143,42.88052,2.996992E+02,4.590114E+02,1.759484E+00,0
74.37134,42.88953,2.972614E+02,4.608773E+02,1.776000E+00,0
74.37125,42.89853,2.963965E+02,4.615314E+02,1.781930E+00,0
74.37116,42.90754,2.947006E+02,4.628015E+02,1.793667E+00,0
74.37107,42.91654,2.935495E+02,4.636538E+02,1.801715E+00,0
74.37097,42.92555,2.891070E+02,4.668732E+02,1.833423E+00,0
74.37088,42.93455,2.883999E+02,4.673752E+02,1.838566E+00,0
74.37079,42.94355,2.863556E+02,4.688106E+02,1.853590E+00,0
74.37070,42.95256,2.842502E+02,4.702642E+02,1.869304E+00,0
74.37061,42.96156,2.834466E+02,4.708125E+02,1.875368E+00,0
74.37052,42.97057,2.819498E+02,4.718236E+02,1.886761E+00,0
74.37042,42.97957,2.687363E+02,4.802051E+02,1.993260E+00,0
74.37033,42.98858,2.673426E+02,4.810327E+02,2.005154E+00,0
74.37024,42.99758,2.640587E+02,4.829401E+02,2.033706E+00,0
74.37015,43.00659,2.657917E+02,4.819410E+02,2.018545E+00,0
74.37006,43.01559,2.672014E+02,4.811160E+02,2.006365E+00,0
74.36996,43.02460,2.757219E+02,4.758958E+02,1.935596E+00,0
74.36987,43.03360,2.784597E+02,4.741326E+02,1.913839E+00,0
74.36978,43.04260,2.637479E+02,4.831176E+02,2.036448E+00,0
74.36969,43.05161,2.659694E+02,4.818373E+02,2.017001E+00,0
74.36960,43.06061,2.785618E+02,4.740659E+02,1.913036E+00,0
74.36950,43.06962,2.811145E+02,4.723826E+02,1.893176E+00,0
74.36941,43.07862,2.837577E+02,4.706006E+02,1.873015E+00,0
74.36932,43.08763,3.107022E+02,4.501674E+02,1.688385E+00,0
74.36923,43.09663,2.962205E+02,4.616639E+02,1.783142E+00,0
74.38546,42.70049,6.418386E+02,9.503905E+01,7.362383E-01,0
74.38537,42.70950,6.773066E+02,7.430703E+01,6.923013E-01,0
74.38528,42.71850,6.647952E+02,8.109813E+01,7.072266E-01,0
74.38519,42.72751,6.225334E+02,1.083494E+02,7.624151E-01,0
74.38511,42.73651,6.769442E+02,7.449612E+01,6.927254E-01,0
74.38502,42.74552,7.904549E+02,3.324970E+01,5.801526E-01,0
74.38493,42.75452,7.839196E+02,3.483196E+01,5.856887E-01,0
74.38484,42.76353,7.171700E+02,5.605770E+01,6.484578E-01,0
74.38475,42.77253,7.905579E+02,3.322537E+01,5.800660E-01,0
74.38466,42.78154,7.190587E+02,5.530963E+01,6.465099E-01,0
74.38457,42.79054,6.260649E+02,1.058018E+02,7.574970E-01,0
74.38448,42.79955,5.691324E+02,1.533165E+02,8.447911E-01,0
74.38439,42.80855,4.876544E+02,2.440420E+02,1.008122E+00,0
