taxonomy,Lon,Lat,BALoccupants,BALoccupantsSTD,BALstructural,BALstructuralSTD,BELoccupants,BELoccupantsSTD,BELstructural,BELstructuralSTD,CHoccupants,CHoccupantsSTD,CHstructural,CHstructuralSTD,EAoccupants,EAoccupantsSTD,EAstructural,EAstructuralSTD,NFoccupants,NFoccupantsSTD,NFstructural,NFstructuralSTD,SToccupants,SToccupantsSTD,STstructural,STstructuralSTD,SFoccupants,SFoccupantsSTD,SFstructural,SFstructuralSTD,SUoccupants,SUoccupantsSTD,SUstructural,SUstructuralSTD,ISKoccupants,ISKoccupantsSTD,ISKstructural,ISKstructuralSTD,ISHAMoccupants,ISHAMoccupantsSTD,ISHAMstructural,ISHAMstructuralSTD
MR+MOC/LWAL+DNO/FC/HBET:1-2,74.5502,42.9466,3.74136e-08,,55.3308,,3.16369e-05,,2609.92,,0.000157969,,7901.4,,1.40079e-05,,1499.11,,0.00194367,,44006.0,,0.000375085,,14401.6,,8.06105e-05,,4934.08,,3.67249e-08,,58.4142,,0.00103025,,28927.4,,0.000927678,,26914.0,
MUR+ADO/LWAL+DNO/FW/HBET:1,74.5502,42.9466,0.00395308,,7779.96,,0.05516,,55695.6,,0.11019200000000001,,93783.9,,0.038058800000000004,,41657.4,,0.27069899999999997,,186986.0,,0.15825699999999998,,123898.0,,0.080166,,73225.8,,0.00424621,,8226.92,,0.235682,,168266.0,,0.226475,,163204.0,
S/LFM+DNO/FME/HBET:1-25,74.5906,42.9452,0.000157942,,1796.48,,0.00237352,,17175.5,,0.00640782,,40038.1,,0.0025383,,18079.4,,0.017981900000000002,,93666.2,,0.0100107,,58193.9,,0.00520269,,33455.9,,0.00025744099999999996,,2633.81,,0.015732200000000002,,84461.1,,0.0155909,,83839.3,
UNK,74.5906,42.9452,0.00138253,,9983.76,,0.014866800000000001,,68175.0,,0.036430800000000006,,138825.0,,0.013314600000000001,,61740.7,,0.14144,,407974.0,,0.058106,,201784.0,,0.027067700000000004,,108955.0,,0.00117994,,8832.29,,0.09368439999999999,,295137.0,,0.092788,,292883.0,
MR+MOC/LWAL+DNO/FC/HBET:3-5,74.5906,42.9452,0.0191297,,49831.2,,0.246298,,261257.0,,0.661553,,513980.0,,0.263467,,270886.0,,1.9432099999999999,,1092950.0,,1.03872,,706250.0,,0.537629,,442860.0,,0.029459500000000003,,65103.4,,1.66708,,987218.0,,1.6510900000000002,,980464.0,
CR+CIP/LFM+DUC/FC/HBET:1-7,74.5906,42.9452,0.0217505,,152549.0,,0.250235,,700859.0,,0.640038,,1268090.0,,0.224014,,644024.0,,2.76474,,3408350.0,,1.0490700000000002,,1761100.0,,0.469247,,1030000.0,,0.018517500000000003,,139583.0,,1.75252,,2494240.0,,1.7344099999999998,,2476420.0,
CR+PC/LWAL+DUC/FC/HBET:1-16,74.5906,42.9452,0.00541365,,88319.0,,0.10366500000000001,,553654.0,,0.32153699999999996,,1117050.0,,0.09250789999999999,,503314.0,,1.95482,,3595750.0,,0.5827640000000001,,1639760.0,,0.22318000000000002,,877245.0,,0.00448153,,78753.7,,1.09223,,2468210.0,,1.07841,,2447480.0,
MR+MOC/LWAL+DNO/FC/HBET:1-2,74.5906,42.9452,1.10722e-07,,205.524,,6.25254e-05,,5499.09,,0.00040805400000000003,,18715.3,,5.19607e-05,,4767.91,,0.0071421,,147473.0,,0.000999986,,35495.5,,0.000240896,,12893.3,,6.60403e-08,,170.33599999999998,,0.00250101,,69297.8,,0.00245391,,68338.9,
MUR+MOCL/LWAL+DNO/FC/HBET:1-2,74.5906,42.9452,0.000583115,,18749.9,,0.00561374,,122900.0,,0.0130186,,243352.0,,0.00503673,,111433.0,,0.0456348,,671075.0,,0.0201403,,347497.0,,0.00983296,,192740.0,,0.000501183,,16623.6,,0.0313465,,497154.0,,0.0310694,,493594.0,
MUR+ADO/LWAL+DNO/FW/HBET:1,74.5906,42.9452,0.00360622,,5820.93,,0.0313806,,31666.8,,0.0689283,,58080.8,,0.0282142,,28899.4,,0.217229,,141336.0,,0.103371,,79656.9,,0.052940999999999995,,47114.3,,0.00312043,,5237.7,,0.155052,,109091.0,,0.153802,,108407.0,
